Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone
1161692729,"31 Aug 2017, 14:51:55",Crazy Cambridge rain ☔️ ,Ride,,6810,37.34,,false,,activities/1161692729.gpx,60.0,,6810.0,5430.0,37348.6015625,14.199999809265137,,187.23719787597656,,12.0,68.0,18.399999618530273,-0.003212971845641732,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1175085359,"29 May 2017, 21:41:49",Night Swim,Swim,Around 1.6km,2965,0,,,,activities/1280579216.fit.gz,60.0,,2965.0,2830.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1175086356,"31 May 2017, 11:22:42",Afternoon Swim,Swim,Around 2km,3142,0,1,,,activities/1280580283.fit.gz,60.0,,3142.0,2391.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,48.0,48.0,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1186632632,"16 Sep 2017, 09:37:00",Cycling to all 31 Cambridge colleges ,Ride,"",17917,28.38,,false,,activities/1186632632.gpx,60.0,,17917.0,8946.0,28384.099609375,11.100000381469727,,150.09303283691406,,9.100000381469727,33.900001525878906,20.299999237060547,-0.003523099236190319,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1213523130,"3 Oct 2017, 16:31:47",Test 1,Ride,,2338,12.06,,false,,activities/1213523130.gpx,60.0,,2338.0,2028.0,12066.900390625,12.699999809265137,,63.9093132019043,,36.0,81.9000015258789,12.0,-0.10690400749444962,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1213668242,"3 Oct 2017, 17:13:26",Test 2,Ride,,1918,13.08,,false,,activities/1213668242.gpx,60.0,,1918.0,1906.0,13087.0,10.899999618530273,,68.79166412353516,,33.0,75.0,12.5,0.09169404953718185,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1217334179,"6 Oct 2017, 06:17:56",1/2,Ride,,2138,12.96,,false,,activities/1217334179.gpx,60.0,,2138.0,2006.0,12965.0,16.100000381469727,,55.94583511352539,,33.099998474121094,71.0,9.600000381469727,-0.09641341865062714,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1224928121,"11 Oct 2017, 06:03:31",1/2,Ride,,2046,13.13,,false,,activities/1224928121.gpx,60.0,,2046.0,2014.0,13132.900390625,16.0,,56.620582580566406,,32.900001525878906,71.0,9.399999618530273,-0.09898804128170013,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1225598934,"11 Oct 2017, 16:04:52",2/2,Ride,,2379,13.16,,false,,activities/1225598934.gpx,60.0,,2379.0,2087.0,13164.7998046875,11.899999618530273,,71.99883270263672,,33.0,75.0,19.100000381469727,0.10862299799919128,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1451257997,"13 Mar 2018, 16:12:00",Afternoon Run,Run,"",2235,6.70,,false,"",,60.0,,2235.0,2235.0,6700.0,,,10.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,3079004.0,,,,,,
